nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
156,045.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_045.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_045.tif,108,924,25,111,929,24,1
156,045.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_045.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_045.tif,123,910,14,127,915,15,2
166,048.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_048.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_048.tif,393,386,22,387,386,21,1
166,048.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_048.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_048.tif,349,374,23,353,379,22,2
167,048.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_048.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_048.tif,605,534,19,602,538,21,1
167,048.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_048.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_048.tif,586,523,34,586,516,34,2
170,048.NM,7,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_048.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_048.tif,860,915,16,861,917,17,1
170,048.NM,7,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_048.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_048.tif,852,886,27,850,885,29,2
173,049.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_049.tif,533,407,25,538,405,24,1
173,049.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_049.tif,438,423,21,442,419,22,2
174,049.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_049.tif,290,705,16,293,706,18,1
174,049.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_049.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_049.tif,307,762,18,302,760,17,2
178,050.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_050.tif,606,617,19,610,616,17,1
178,050.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_050.tif,535,600,16,538,604,14,2
179,050.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_050.tif,414,817,19,419,818,21,1
179,050.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/tmr_050.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM764_20220519_001/Cy5_050.tif,449,868,20,448,868,17,2
